bounty,frame_timestamp,game_id,kill_streak_length,killer_id,position_x,position_y,shutdown_bounty,timestamp,type,victim_id
273.0,540206,7586522019,2.0,9.0,12967.0,2385.0,0.0,515044,CHAMPION_KILL,5.0
300.0,600215,7586522019,0.0,2.0,7739.0,6674.0,0.0,553056,CHAMPION_KILL,8.0
300.0,660221,7586522019,3.0,7.0,3243.0,13024.0,0.0,625131,CHAMPION_KILL,1.0
231.0,660221,7586522019,0.0,3.0,7235.0,7234.0,0.0,629183,CHAMPION_KILL,8.0
238.0,660221,7586522019,3.0,9.0,12779.0,1516.0,0.0,646425,CHAMPION_KILL,4.0
205.0,660221,7586522019,4.0,9.0,11748.0,1130.0,0.0,648596,CHAMPION_KILL,5.0
300.0,660221,7586522019,1.0,3.0,13070.0,1443.0,266.0,659766,CHAMPION_KILL,9.0
300.0,720239,7586522019,2.0,3.0,14051.0,5169.0,66.0,669618,CHAMPION_KILL,10.0
300.0,720239,7586522019,0.0,10.0,13719.0,3093.0,0.0,671889,CHAMPION_KILL,2.0
236.0,780261,7586522019,0.0,9.0,3335.0,9836.0,0.0,732088,CHAMPION_KILL,1.0
300.0,780261,7586522019,4.0,7.0,10680.0,935.0,0.0,735691,CHAMPION_KILL,3.0
224.0,780261,7586522019,0.0,2.0,12461.0,1491.0,0.0,753027,CHAMPION_KILL,8.0
158.0,840266,7586522019,1.0,9.0,7329.0,7950.0,0.0,797588,CHAMPION_KILL,5.0
213.0,840266,7586522019,5.0,7.0,7980.0,7913.0,0.0,799258,CHAMPION_KILL,4.0
184.0,840266,7586522019,1.0,6.0,2705.0,12380.0,0.0,825586,CHAMPION_KILL,1.0
300.0,840266,7586522019,2.0,9.0,5789.0,6238.0,0.0,826053,CHAMPION_KILL,2.0
195.0,900270,7586522019,0.0,3.0,12517.0,4332.0,0.0,849067,CHAMPION_KILL,8.0
112.0,900270,7586522019,2.0,6.0,6346.0,7670.0,0.0,868497,CHAMPION_KILL,5.0
162.0,938423,7586522019,6.0,7.0,2728.0,10193.0,0.0,907453,CHAMPION_KILL,1.0
300.0,180112,7587543066,0.0,4.0,10700.0,925.0,0.0,141628,CHAMPION_KILL,10.0
300.0,180112,7587543066,0.0,8.0,6854.0,7155.0,0.0,175326,CHAMPION_KILL,3.0
300.0,180112,7587543066,0.0,3.0,7126.0,7160.0,0.0,175359,CHAMPION_KILL,8.0
300.0,180112,7587543066,0.0,9.0,12692.0,3149.0,0.0,179500,CHAMPION_KILL,5.0
300.0,240126,7587543066,0.0,10.0,10498.0,1711.0,0.0,194339,CHAMPION_KILL,4.0
300.0,300158,7587543066,0.0,1.0,2190.0,12161.0,0.0,293293,CHAMPION_KILL,6.0
300.0,360175,7587543066,1.0,9.0,13150.0,3414.0,0.0,355333,CHAMPION_KILL,4.0
264.0,420181,7587543066,2.0,9.0,12335.0,3123.0,0.0,360710,CHAMPION_KILL,5.0
300.0,420181,7587543066,3.0,9.0,13554.0,2525.0,0.0,367957,CHAMPION_KILL,2.0
300.0,480199,7587543066,0.0,4.0,13505.0,2394.0,265.0,438283,CHAMPION_KILL,9.0
185.0,540209,7587543066,0.0,9.0,9538.0,1236.0,0.0,516797,CHAMPION_KILL,5.0
275.0,540209,7587543066,0.0,7.0,9518.0,1222.0,0.0,520504,CHAMPION_KILL,2.0
300.0,540209,7587543066,0.0,8.0,6453.0,6865.0,0.0,525480,CHAMPION_KILL,3.0
300.0,600224,7587543066,1.0,4.0,11079.0,1427.0,89.0,555973,CHAMPION_KILL,10.0
300.0,600224,7587543066,2.0,4.0,11804.0,1215.0,3.0,557275,CHAMPION_KILL,9.0
300.0,600224,7587543066,1.0,7.0,11552.0,1032.0,39.0,558912,CHAMPION_KILL,4.0
300.0,720251,7587543066,2.0,7.0,4226.0,10022.0,73.0,669527,CHAMPION_KILL,1.0
300.0,720251,7587543066,0.0,3.0,4470.0,9345.0,0.0,674942,CHAMPION_KILL,6.0
232.0,720251,7587543066,1.0,8.0,4031.0,7284.0,0.0,681889,CHAMPION_KILL,2.0
300.0,720251,7587543066,2.0,8.0,5717.0,6778.0,2.0,698165,CHAMPION_KILL,3.0
300.0,780281,7587543066,0.0,9.0,3586.0,11964.0,0.0,766194,CHAMPION_KILL,1.0
300.0,780281,7587543066,3.0,8.0,7366.0,6749.0,6.0,773713,CHAMPION_KILL,4.0
300.0,780281,7587543066,0.0,5.0,7354.0,6824.0,318.0,775216,CHAMPION_KILL,8.0
300.0,840282,7587543066,0.0,6.0,12231.0,3158.0,0.0,812986,CHAMPION_KILL,3.0
204.0,840282,7587543066,0.0,10.0,9430.0,2272.0,0.0,820341,CHAMPION_KILL,2.0
300.0,900311,7587543066,1.0,9.0,7476.0,6099.0,0.0,849433,CHAMPION_KILL,5.0
300.0,900311,7587543066,0.0,4.0,6955.0,6373.0,107.0,851771,CHAMPION_KILL,9.0
